Order_ID,Cust_ID,Prod_ID,Cust_Name,City,Order_Date,Email,Amount,Review,Ratings,Delivery_Date
ORD_1023,CUST_0X081,PROD_0ZM52,Rahul Sharma,ahmedabad,2025-04-27,rahu.sharm8534000@outlook.com,78786.87,Could be better,3,2025-04-29
ORD_1024,CUST_0X082,PROD_0ZM53,Rajat Malhotra,lucknow,2025-03-27,raja.malho7115001@yahoo.com,36838.39,Would recommend,5,2025-03-29
ORD_1025,CUST_0X083,PROD_0ZM54,Nikhil Kumar,hyderabad,2025-03-08,nikh.kumar5625002@rediffmail.com,11518.46,Would recommend,5,2025-03-13
ORD_1026,CUST_0X084,PROD_0ZM55,Rohan Joshi,hyderabad,2025-06-01,roha.joshi5895003@yahoo.com,7603.62,Highly recommended,4,2025-06-09
ORD_1027,CUST_0X085,PROD_0ZM56,Simran Gupta,jaipur,2025-09-16,simr.gupta2711004@rediffmail.com,74763.15,Wrong product delivered,2,2025-09-20
ORD_1028,CUST_0X086,PROD_0ZM57,Anjali Saxena,hyderabad,2026-01-22,anja.saxen323005@yahoo.com,8233.6,Very disappointing,2,2026-01-23
ORD_1029,CUST_0X087,PROD_0ZM58,Aditya Sharma,,2025-03-19,adit.sharm3685006@yahoo.com,6071.36,Very disappointing,1,2025-03-21
ORD_1030,CUST_0X088,PROD_0ZM59,Ishaan Kapoor,Bengaluru,2026-02-17,isha.kapoo3470007@gmail.com,55049.45,Value for money,5,2026-02-24
ORD_1031,CUST_0X089,PROD_0ZM60,Nikhil Patel,hyderabad,2024-06-08,nikh.patel9671008@yahoo.com,50757.43,Very durable,4,2024-06-16
ORD_1032,CUST_0X090,PROD_0ZM61,Ritika Sharma,Kolkata,2026-04-19,riti.sharm2027009@outlook.com,14548.55,Highly recommended,4,2026-04-20
ORD_1033,CUST_0X091,PROD_0ZM62,Ayesha Kapoor,pune,2026-03-23,ayes.kapoo622010@rediffmail.com,52841.38,Late delivery,1,2026-04-12
ORD_1034,CUST_0X092,PROD_0ZM63,Simran Saxena,Delhi,2025-05-08,simr.saxen4200011@gmail.com,9553.13,Great product,5,2025-05-14
ORD_1035,CUST_0X093,PROD_0ZM64,Nikhil Mishra,kolkata,2024-01-21,nikh.mishr9740012@gmail.com,38816.1,Very durable,5,2024-01-30
ORD_1036,CUST_0X094,PROD_0ZM65,Anjali Bansal,,2026-02-19,anja.bansa1781013@gmail.com,12839.38,Poor quality,2,2026-02-24
ORD_1037,CUST_0X095,PROD_0ZM66,Aarav Chauhan,hyderabad,2025-01-25,aara.chauh800014@gmail.com,,Missing parts,2,2025-01-26
ORD_1038,CUST_0X096,PROD_0ZM67,Siddharth Desai,bengaluru,2025-03-13,sidd.desai6838015@rediffmail.com,41535.99,Poor quality,2,2025-03-16
ORD_1039,CUST_0X097,PROD_0ZM68,Priya Chopra,jaipur,2026-05-24,priy.chopr6240016@gmail.com,69376.57,Overpriced,3,2026-05-26
ORD_1040,CUST_0X098,PROD_0ZM69,Rajat Kumar,Jaipur,2024-03-26,raja.kumar8976017@outlook.com,2553.91,Value for money,4,2024-03-29
ORD_1041,CUST_0X099,PROD_0ZM70,Dev Chauhan,Bengaluru,2026-02-16,dev.chauh7782018@yahoo.com,6858.73,Overpriced,3,2026-02-19
ORD_1042,CUST_0X100,PROD_0ZM71,Aditi Singh,ahmedabad,2024-11-03,adit.singh3376019@gmail.com,22038.59,Does not seem to last too long,3,2024-11-07
ORD_1043,CUST_0X101,PROD_0ZM72,Ishaan Jain,Delhi,2025-09-01,isha.jain4943020@rediffmail.com,28014.56,Would recommend,4,2025-09-10
ORD_1044,CUST_0X102,PROD_0ZM73,Rohan Khanna,Lucknow,2025-07-04,roha.khann1664021@outlook.com,37470.09,Broken product,2,2025-07-12
ORD_1045,CUST_0X103,PROD_0ZM74,Diya Nair,Jaipur,2024-06-05,diya.nair9932022@yahoo.com,,Average quality,3,2024-06-12
ORD_1046,CUST_0X104,PROD_0ZM75,Manish Sinha,,2025-07-20,mani.sinha6872023@gmail.com,20157.43,Overpriced,3,2025-07-24
ORD_1047,CUST_0X105,PROD_0ZM76,Aditya Kulkarni,Bengaluru,2026-01-14,adit.kulka8391024@gmail.com,67713.66,Could be better,3,2026-01-19
ORD_1048,CUST_0X106,PROD_0ZM77,Sanya Shah,chennai,2024-06-28,sany.shah4641025@gmail.com,8410.99,Excellent purchase,5,2024-07-03
ORD_1049,CUST_0X107,PROD_0ZM78,Rahul Thakur,Chennai,2024-09-20,rahu.thaku1751026@rediffmail.com,63569.14,Late delivery,2,2024-10-07
ORD_1050,CUST_0X108,PROD_0ZM79,Kavya Gupta,Ahmedabad,2025-01-24,kavy.gupta3264027@yahoo.com,70652.02,Excellent purchase,4,2025-01-31
ORD_1051,CUST_0X109,PROD_0ZM80,Ayesha Agarwal,lucknow,2025-04-19,ayes.agarw4318028@yahoo.com,65308.2,Amazing quality,4,2025-04-21
ORD_1052,CUST_0X110,PROD_0ZM81,Sakshi Goyal,Delhi,2024-11-09,saks.goyal5874029@rediffmail.com,34459.18,Very disappointing,1,2024-11-15
ORD_1053,CUST_0X111,PROD_0ZM82,Isha Reddy,hyderabad,2025-04-09,isha.reddy4849030@yahoo.com,71852.0,Very durable,4,2025-04-11
ORD_1054,CUST_0X112,PROD_0ZM83,Kabir Desai,,2024-10-17,kabi.desai655031@rediffmail.com,13546.47,Product stopped working,2,2024-10-18
ORD_1055,CUST_0X113,PROD_0ZM84,Krishna Verma,chennai,2025-01-19,kris.verma3412032@rediffmail.com,,Broken product,1,2025-01-24
ORD_1056,CUST_0X114,PROD_0ZM85,,bengaluru,2025-07-29,nikh.chauh5426033@yahoo.com,31984.87,Very durable,5,2025-07-31
ORD_1057,CUST_0X115,PROD_0ZM86,Mohit Gupta,,2025-09-12,mohi.gupta54034@gmail.com,64761.43,Highly recommended,5,2025-09-19
ORD_1058,CUST_0X116,PROD_0ZM87,,Hyderabad,2025-05-07,nikh.bhatt1468035@gmail.com,28748.01,Highly recommended,5,2025-05-09
ORD_1059,CUST_0X117,PROD_0ZM88,Rohan Jain,,2024-03-14,roha.jain9416036@rediffmail.com,52624.98,Overpriced,3,2024-03-20
ORD_1060,CUST_0X118,PROD_0ZM89,Rajat Mishra,Pune,2024-12-07,raja.mishr2453037@gmail.com,62405.26,Late delivery,1,2024-12-18
ORD_1061,CUST_0X119,PROD_0ZM90,Isha Mehta,pune,2024-05-19,isha.mehta8393038@gmail.com,25623.41,Great product,4,2024-05-20
ORD_1062,CUST_0X120,PROD_0ZM91,Isha Khanna,hyderabad,2026-01-02,isha.khann1669039@outlook.com,26443.78,Could be better,3,2026-01-10
ORD_1063,CUST_0X121,PROD_0ZM92,Dev Joshi,Bengaluru,2025-04-25,dev.joshi3797040@rediffmail.com,73924.64,Wrong product delivered,2,2025-05-04
ORD_1064,CUST_0X122,PROD_0ZM93,Rajat Desai,kolkata,2024-07-19,raja.desai4860041@outlook.com,30970.15,Would recommend,4,2024-07-23
ORD_1065,CUST_0X123,PROD_0ZM94,Krishna Nair,delhi,2024-06-07,kris.nair7616042@gmail.com,8413.03,Rude behaviour,1,2024-06-12
ORD_1066,CUST_0X124,PROD_0ZM95,Siddharth Shah,mumbai,2024-07-13,sidd.shah1645043@yahoo.com,46001.08,Would recommend,5,2024-07-20
ORD_1067,CUST_0X125,PROD_0ZM96,,Hyderabad,2024-01-05,akas.mehta656044@outlook.com,25559.11,Very disappointing,2,2024-01-11
ORD_1068,CUST_0X126,PROD_0ZM97,Sanya Jain,Bengaluru,2024-01-14,sany.jain5911045@outlook.com,15930.44,Value for money,4,2024-01-22
ORD_1069,CUST_0X127,PROD_0ZM98,Rajat Thakur,lucknow,2026-06-01,raja.thaku6989046@gmail.com,3933.99,Average quality,3,2026-06-06
ORD_1070,CUST_0X128,PROD_0ZM99,Ayesha Malhotra,lucknow,2025-05-27,ayes.malho1566047@gmail.com,9716.87,Excellent purchase,4,2025-06-04
